Category,Canonical (Highest Count),Count,Aliases,Num Aliases
AI/ML,Artificial Intelligence,216,Artificial Intelligence (AI),1
AI/ML,Generative AI,122,generative AI,1
AI/ML,Large Language Models,113,Large Language Model | Large Language Models (LLM) | Large Language Models (LLMs) | Large Language Model (LLM) | large language models,5
AI/ML,Computer Vision,85,computer vision,1
AI/ML,Natural Language Processing,70,Natural Language Processing (NLP),1
AI/ML,Unsupervised Learning,16,Unsupervised learning,1
AI/ML,Retrieval-Augmented Generation,14,Retrieval Augmented Generation | Retrieval-Augmented Generation (RAG) | Retrieval Augmented Generation (RAG) | Retrieval-augmented generation,4
AI/ML,Supervised Learning,13,Supervised learning,1
AI/ML,Time Series Forecasting,10,Time-Series Forecasting,1
AI/ML,Multi-agent Systems,5,Multi-Agent Systems,1
AI/ML,Ollama,5,OLLAMA,1
AI/ML,Few-shot Learning,2,Few-Shot Learning,1
AI/ML,Self-supervised Learning,2,Self-Supervised Learning,1
AI/ML,Semi-supervised Learning,2,Semi-Supervised Learning,1
AI/ML,Multimodal AI,2,Multimodal Learning,1
AI/ML,Feature Extraction,1,Feature extraction,1
AI/ML,LLaMa,1,Llama | LLaMA,2
AI/ML,Model Fine-Tuning,1,Model Fine-tuning,1
AI/ML,Online learning,1,Online Learning,1
AI/ML,TensorFlow,131,Tensorflow,1
AI/ML,scikit-learn,57,Scikit-learn | Scikit-Learn,2
AI/ML,LangChain,41,Langchain | langchain,2
AI/ML,Hugging Face,17,HuggingFace,1
AI/ML,JAX,11,Jax,1
AI/ML,LangGraph,11,langgraph,1
AI/ML,LlamaIndex,5,llamaindex,1
AI/ML,MCP,5,Model Context Protocol | Model Context Protocol (MCP),2
AI/ML,Hugging Face Transformers,4,HuggingFace Transformers,1
AI/ML,Compute graph optimization,1,Compute Graph Optimization,1
Frameworks / Libraries,REST,120,REST API | RESTful API | RESTful APIs | REST APIs | RESTful,5
Other,WebSockets,10,Websockets,1
Other,Socket Programming,7,Socket programming,1
Other,AJAX,3,Ajax,1
Other,Server-Sent Events,3,Server Sent Events,1
Frameworks / Libraries,Node.js,165,NodeJS,1
Frameworks / Libraries,Spring Boot,55,SpringBoot,1
Frameworks / Libraries,Ruby on Rails,23,Rails,1
Frameworks / Libraries,Express.js,16,Express,1
Frameworks / Libraries,Wildfly,3,WildFly,1
Frameworks / Libraries,Glassfish,2,GlassFish,1
Cloud & DevOps,AWS,438,Amazon Web Services,1
