Skill,Count,Category
Python,1479,Languages
JavaScript,676,Languages
Java,674,Languages
SQL,621,Databases
C++,615,Languages
Agile,597,Other
Git,575,Cloud & DevOps
Linux,480,Cloud & DevOps
Machine Learning,472,AI/ML
AWS,440,Cloud & DevOps
C#,415,Languages
React,383,Frameworks / Libraries
C,336,Languages
Microsoft Excel,314,Other
Azure,311,Cloud & DevOps
Docker,305,Cloud & DevOps
CI/CD,288,Cloud & DevOps
REST,279,Frameworks / Libraries
TypeScript,265,Languages
HTML,256,Frameworks / Libraries
CSS,253,Frameworks / Libraries
Kubernetes,248,Cloud & DevOps
Artificial Intelligence,217,AI/ML
GCP,213,Cloud & DevOps
Jira,211,Other
DevOps,208,Cloud & DevOps
Power BI,189,Other
Angular,179,Frameworks / Libraries
Go,179,Languages
Jenkins,179,Cloud & DevOps
Scrum,176,Other
Microsoft PowerPoint,170,Other
Node.js,167,Frameworks / Libraries
Microsoft Word,157,Other
GitHub,154,Cloud & DevOps
Unit Testing,152,Testing
API,150,Frameworks / Libraries
PyTorch,148,AI/ML
PostgreSQL,147,Databases
Windows,145,Other
Microservices,144,Frameworks / Libraries
Object-Oriented Programming,140,Other
Android,138,Frameworks / Libraries
AI,137,AI/ML
Large Language Models,135,AI/ML
TensorFlow,132,AI/ML
Tableau,129,Databases
.NET,123,Languages
Generative AI,123,AI/ML
SQL Server,110,Databases
Data Structures,109,Other
R,109,Languages
Microsoft Office,108,Other
Algorithms,107,Other
Bash,107,Languages
iOS,105,Frameworks / Libraries
Unix,104,Other
Perl,97,Languages
Selenium,92,Testing
Microsoft Outlook,89,Other
Deep Learning,88,AI/ML
MySQL,87,Databases
Computer Vision,86,AI/ML
Embedded Systems,86,Cloud & DevOps
Pandas,84,Databases
Software Development Life Cycle,84,Other
Terraform,84,Cloud & DevOps
Test Automation,81,Testing
scikit-learn,81,AI/ML
Bitbucket,80,Cloud & DevOps
GitLab,80,Cloud & DevOps
Object-Oriented Design,80,Other
Continuous Integration,78,Cloud & DevOps
Kotlin,76,Frameworks / Libraries
Spark,76,Databases
Data Analysis,75,Databases
SDLC,75,Other
Vue.js,75,Frameworks / Libraries
MongoDB,74,Databases
Natural Language Processing,74,AI/ML
Cloud,73,Cloud & DevOps
Confluence,73,Other
SharePoint,73,Other
